"week","week_number","type","value"
Week 3,"3",Impressions,26256.0500
Week 2,"2",Impressions,45932.0800
Week 1,"1",Impressions,42314.3600
Week 52,"52",Impressions,28764.2700
Week 51,"51",Impressions,376194.3200
Week 50,"50",Impressions,1031677.4300
Week 49,"49",Impressions,262566.8586
Week 48,"48",Impressions,218684.2222
Week 47,"47",Impressions,428308.8586
Week 46,"46",Impressions,180232.9394
Week 45,"45",Impressions,68023.8687
Week 44,"44",Impressions,81923.6364
Week 43,"43",Impressions,80930.9394
Week 42,"42",Impressions,56072.4141
Week 41,"41",Impressions,134554.5960
Week 40,"40",Impressions,137979.2626
Week 39,"39",Impressions,108947.8384
Week 38,"38",Impressions,38753.0200
Week 37,"37",Impressions,34118.2400
Week 36,"36",Impressions,55083.0600
Week 35,"35",Impressions,51720.9200
Week 34,"34",Impressions,51720.9200
Week 33,"33",Impressions,107366.4500
Week 32,"32",Impressions,99142.4100
Week 31,"31",Impressions,85445.1600
Week 30,"30",Impressions,82051.9100
Week 3,"3",Impressions,26256.0500
Week 2,"2",Impressions,45932.0800
Week 1,"1",Impressions,42314.3600
Week 52,"52",Impressions,28764.2700
Week 51,"51",Impressions,376194.3200
Week 50,"50",Impressions,1031677.4300
Week 49,"49",Impressions,262566.8586
Week 48,"48",Impressions,218684.2222
Week 47,"47",Impressions,428308.8586
Week 46,"46",Impressions,180232.9394
Week 45,"45",Impressions,68023.8687
Week 44,"44",Impressions,81923.6364
Week 43,"43",Impressions,80930.9394
Week 42,"42",Impressions,56072.4141
Week 41,"41",Impressions,134554.5960
Week 40,"40",Impressions,137979.2626
Week 39,"39",Impressions,108947.8384
Week 38,"38",Impressions,38753.0200
Week 37,"37",Impressions,34118.2400
Week 36,"36",Impressions,55083.0600
Week 35,"35",Impressions,51720.9200
Week 34,"34",Impressions,51720.9200
Week 33,"33",Impressions,107366.4500
Week 32,"32",Impressions,99142.4100
Week 31,"31",Impressions,85445.1600
Week 30,"30",Impressions,82051.9100
Week 3,"3",Count of Clicks,349.8300
Week 2,"2",Count of Clicks,627.9500
Week 1,"1",Count of Clicks,587.1800
Week 52,"52",Count of Clicks,366.0800
Week 51,"51",Count of Clicks,3273.2700
Week 50,"50",Count of Clicks,8651.3100
Week 49,"49",Count of Clicks,3365.3939
Week 48,"48",Count of Clicks,2862.2222
Week 47,"47",Count of Clicks,4845.2828
Week 46,"46",Count of Clicks,2333.9091
Week 45,"45",Count of Clicks,885.1515
Week 44,"44",Count of Clicks,861.6667
Week 43,"43",Count of Clicks,909.2525
Week 42,"42",Count of Clicks,734.1717
Week 41,"41",Count of Clicks,1707.3535
Week 40,"40",Count of Clicks,1694.2929
Week 39,"39",Count of Clicks,1311.7475
Week 38,"38",Count of Clicks,483.4700
Week 37,"37",Count of Clicks,424.4700
Week 36,"36",Count of Clicks,678.5200
Week 35,"35",Count of Clicks,604.1300
Week 34,"34",Count of Clicks,604.1300
Week 33,"33",Count of Clicks,1272.4200
Week 32,"32",Count of Clicks,1171.6300
Week 31,"31",Count of Clicks,1042.0300
Week 30,"30",Count of Clicks,991.4700
Week 3,"3",Count of Clicks,349.8300
Week 2,"2",Count of Clicks,627.9500
Week 1,"1",Count of Clicks,587.1800
Week 52,"52",Count of Clicks,366.0800
Week 51,"51",Count of Clicks,3273.2700
Week 50,"50",Count of Clicks,8651.3100
Week 49,"49",Count of Clicks,3365.3939
Week 48,"48",Count of Clicks,2862.2222
Week 47,"47",Count of Clicks,4845.2828
Week 46,"46",Count of Clicks,2333.9091
Week 45,"45",Count of Clicks,885.1515
Week 44,"44",Count of Clicks,861.6667
Week 43,"43",Count of Clicks,909.2525
Week 42,"42",Count of Clicks,734.1717
Week 41,"41",Count of Clicks,1707.3535
Week 40,"40",Count of Clicks,1694.2929
Week 39,"39",Count of Clicks,1311.7475
Week 38,"38",Count of Clicks,483.4700
Week 37,"37",Count of Clicks,424.4700
Week 36,"36",Count of Clicks,678.5200
Week 35,"35",Count of Clicks,604.1300
Week 34,"34",Count of Clicks,604.1300
Week 33,"33",Count of Clicks,1272.4200
Week 32,"32",Count of Clicks,1171.6300
Week 31,"31",Count of Clicks,1042.0300
Week 30,"30",Count of Clicks,991.4700
Week 3,"3",Products Added to Cart,104.1000
Week 2,"2",Products Added to Cart,159.7500
Week 1,"1",Products Added to Cart,146.0700
Week 52,"52",Products Added to Cart,101.6800
Week 51,"51",Products Added to Cart,1012.4500
Week 50,"50",Products Added to Cart,2757.6200
Week 49,"49",Products Added to Cart,970.5758
Week 48,"48",Products Added to Cart,849.0101
Week 47,"47",Products Added to Cart,1702.5152
Week 46,"46",Products Added to Cart,706.0505
Week 45,"45",Products Added to Cart,275.5152
Week 44,"44",Products Added to Cart,319.5455
Week 43,"43",Products Added to Cart,336.0909
Week 42,"42",Products Added to Cart,237.6465
Week 41,"41",Products Added to Cart,496.9798
Week 40,"40",Products Added to Cart,454.5455
Week 39,"39",Products Added to Cart,363.5455
Week 38,"38",Products Added to Cart,151.7900
Week 37,"37",Products Added to Cart,131.8800
Week 36,"36",Products Added to Cart,198.3200
Week 35,"35",Products Added to Cart,199.2700
Week 34,"34",Products Added to Cart,199.2700
Week 33,"33",Products Added to Cart,399.0000
Week 32,"32",Products Added to Cart,368.1800
Week 31,"31",Products Added to Cart,344.7900
Week 30,"30",Products Added to Cart,321.2300
Week 3,"3",Products Added to Cart,104.1000
Week 2,"2",Products Added to Cart,159.7500
Week 1,"1",Products Added to Cart,146.0700
Week 52,"52",Products Added to Cart,101.6800
Week 51,"51",Products Added to Cart,1012.4500
Week 50,"50",Products Added to Cart,2757.6200
Week 49,"49",Products Added to Cart,970.5758
Week 48,"48",Products Added to Cart,849.0101
Week 47,"47",Products Added to Cart,1702.5152
Week 46,"46",Products Added to Cart,706.0505
Week 45,"45",Products Added to Cart,275.5152
Week 44,"44",Products Added to Cart,319.5455
Week 43,"43",Products Added to Cart,336.0909
Week 42,"42",Products Added to Cart,237.6465
Week 41,"41",Products Added to Cart,496.9798
Week 40,"40",Products Added to Cart,454.5455
Week 39,"39",Products Added to Cart,363.5455
Week 38,"38",Products Added to Cart,151.7900
Week 37,"37",Products Added to Cart,131.8800
Week 36,"36",Products Added to Cart,198.3200
Week 35,"35",Products Added to Cart,199.2700
Week 34,"34",Products Added to Cart,199.2700
Week 33,"33",Products Added to Cart,399.0000
Week 32,"32",Products Added to Cart,368.1800
Week 31,"31",Products Added to Cart,344.7900
Week 30,"30",Products Added to Cart,321.2300
Week 3,"3",Purchase,19.2300
Week 2,"2",Purchase,28.9200
Week 1,"1",Purchase,27.0900
Week 52,"52",Purchase,18.6400
Week 51,"51",Purchase,435.5500
Week 50,"50",Purchase,1072.2100
Week 49,"49",Purchase,236.8182
Week 48,"48",Purchase,207.9798
Week 47,"47",Purchase,433.4343
Week 46,"46",Purchase,112.1010
Week 45,"45",Purchase,34.8687
Week 44,"44",Purchase,29.8889
Week 43,"43",Purchase,33.7172
Week 42,"42",Purchase,35.2222
Week 41,"41",Purchase,102.2121
Week 40,"40",Purchase,84.0606
Week 39,"39",Purchase,66.4242
Week 38,"38",Purchase,30.5300
Week 37,"37",Purchase,25.5500
Week 36,"36",Purchase,36.1400
Week 35,"35",Purchase,32.8400
Week 34,"34",Purchase,32.8400
Week 33,"33",Purchase,68.6700
Week 32,"32",Purchase,61.0900
Week 31,"31",Purchase,56.8500
Week 30,"30",Purchase,48.8400
Week 3,"3",Purchase,19.2300
Week 2,"2",Purchase,28.9200
Week 1,"1",Purchase,27.0900
Week 52,"52",Purchase,18.6400
Week 51,"51",Purchase,435.5500
Week 50,"50",Purchase,1072.2100
Week 49,"49",Purchase,236.8182
Week 48,"48",Purchase,207.9798
Week 47,"47",Purchase,433.4343
Week 46,"46",Purchase,112.1010
Week 45,"45",Purchase,34.8687
Week 44,"44",Purchase,29.8889
Week 43,"43",Purchase,33.7172
Week 42,"42",Purchase,35.2222
Week 41,"41",Purchase,102.2121
Week 40,"40",Purchase,84.0606
Week 39,"39",Purchase,66.4242
Week 38,"38",Purchase,30.5300
Week 37,"37",Purchase,25.5500
Week 36,"36",Purchase,36.1400
Week 35,"35",Purchase,32.8400
Week 34,"34",Purchase,32.8400
Week 33,"33",Purchase,68.6700
Week 32,"32",Purchase,61.0900
Week 31,"31",Purchase,56.8500
Week 30,"30",Purchase,48.8400
